Exercise_Name,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp_details,muscle_gp,equipment_details,Equipment,Rating,Description
Romanian Deadlift With Dumbbells,https://www.bodybuilding.com/exercises/romanian-deadlift-with-dumbbells,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.4,Average
Tire flip,https://www.bodybuilding.com/exercises/tire-flip,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/other,Other,9.4,Average
Clean Deadlift,https://www.bodybuilding.com/exercises/clean-deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,Average
Elbow plank,https://www.bodybuilding.com/exercises/plank,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.3,Average
Bottoms Up,https://www.bodybuilding.com/exercises/bottoms-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.3,Average
Barbell back squat to box,https://www.bodybuilding.com/exercises/box-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72e-barbell-back-squat-to-box-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Clean and jerk,https://www.bodybuilding.com/exercises/clean-and-jerk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26b-clean-and-jerk-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Single-arm kettlebell push-press,https://www.bodybuilding.com/exercises/one-arm-kettlebell-push-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/kettlebells,Kettlebells,9.3,Average
Push-press,https://www.bodybuilding.com/exercises/push-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-39b-push-press-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Suspended ab fall-out,https://www.bodybuilding.com/exercises/suspended-fallout,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-158s-suspended-ab-fall-out-m2-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,9.3,Average
Military press,https://www.bodybuilding.com/exercises/standing-military-press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Power snatch-,https://www.bodybuilding.com/exercises/snatch,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Sumo deadlift,https://www.bodybuilding.com/exercises/sumo-deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Hang Clean,https://www.bodybuilding.com/exercises/hang-clean,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,Average
Dumbbell V-Sit Cross Jab,https://www.bodybuilding.com/exercises/dumbbell-v-sit-cross-jab,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.3,Average
Reverse Band Box Squat,https://www.bodybuilding.com/exercises/reverse-band-box-squat,https://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/m/753_2.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/finder,,9.3,Average
Standing palms-in shoulder press,https://www.bodybuilding.com/exercises/standing-palms-in-dumbbell-press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.3,Average
